2026-08-29 10:00:01|ZEBRA|ERROR|101|failure one
2026-08-29 10:00:02|ZEBRA|INFO|102|ok
2026-08-29 10:00:03|ZEBRA|INFO|103|ok
2026-08-29 10:00:04|ZEBRA|INFO|104|ok
2026-08-29 10:00:05|ZEBRA|INFO|105|ok
2026-08-29 10:00:06|ZEBRA|INFO|106|ok
2026-08-29 10:00:07|ZEBRA|INFO|107|ok
2026-08-29 10:00:08|ZEBRA|INFO|108|ok
2026-08-29 10:00:09|ZEBRA|INFO|109|ok
2026-08-29 10:00:10|ZEBRA|INFO|110|ok
2026-08-29 10:01:01|ALPHA|ERROR|201|failure one
2026-08-29 10:01:02|ALPHA|INFO|202|ok
2026-08-29 10:01:03|ALPHA|INFO|203|ok
2026-08-29 10:01:04|ALPHA|INFO|204|ok
2026-08-29 10:01:05|ALPHA|INFO|205|ok
2026-08-29 10:01:06|ALPHA|INFO|206|ok
2026-08-29 10:01:07|ALPHA|INFO|207|ok
2026-08-29 10:01:08|ALPHA|INFO|208|ok
2026-08-29 10:01:09|ALPHA|INFO|209|ok
2026-08-29 10:01:10|ALPHA|INFO|210|ok
2026-08-29 10:02:01|MIDDLE|ERROR|301|failure one
2026-08-29 10:02:02|MIDDLE|ERROR|302|failure two
2026-08-29 10:02:03|MIDDLE|ERROR|303|failure three
2026-08-29 10:02:04|MIDDLE|ERROR|304|failure four
2026-08-29 10:02:05|MIDDLE|ERROR|305|failure five
2026-08-29 10:02:06|MIDDLE|INFO|306|ok
2026-08-29 10:02:07|MIDDLE|INFO|307|ok
2026-08-29 10:02:08|MIDDLE|INFO|308|ok
2026-08-29 10:02:09|MIDDLE|INFO|309|ok
2026-08-29 10:02:10|MIDDLE|INFO|310|ok
